2020-01-07 20:22:44,210 mycat [FATAL] this is an emerg message
2020-01-07 20:22:44,211 mycat [FATAL] this is a fatal message.
2020-01-07 20:22:44,211 mycat [ALERT] this is an alert message.
2020-01-07 20:22:44,212 mycat [CRIT] this is a crit message.
2020-01-07 20:22:44,212 mycat [ERROR] this is an error message.
2020-01-07 20:26:51,083 mycat [FATAL] this is an emerg message
2020-01-07 20:26:51,084 mycat [FATAL] this is a fatal message.
2020-01-07 20:26:51,084 mycat [ALERT] this is an alert message.
2020-01-07 20:26:51,085 mycat [CRIT] this is a crit message.
2020-01-07 20:26:51,085 mycat [ERROR] this is an error message.
2020-01-07 20:27:17,937  [FATAL] this is an emerg message
2020-01-07 20:27:17,937  [FATAL] this is a fatal message.
2020-01-07 20:27:17,938  [ALERT] this is an alert message.
2020-01-07 20:27:17,938  [CRIT] this is a crit message.
2020-01-07 20:27:17,938  [ERROR] this is an error message.
2020-01-07 21:23:24,333 mycat [WARN] 0th: a new message helo,world hello wangdao
2020-01-07 21:23:24,334 mycat [ERROR] 0th: a new message helo,world hello wangdao
2020-01-07 21:23:24,334 mycat [WARN] 1th: a new message helo,world hello wangdao
2020-01-07 21:23:24,334 mycat [ERROR] 1th: a new message helo,world hello wangdao
2020-01-07 21:23:24,334 mycat [WARN] 2th: a new message helo,world hello wangdao
2020-01-07 21:23:24,334 mycat [ERROR] 2th: a new message helo,world hello wangdao
2020-01-07 21:23:24,334 mycat [WARN] 3th: a new message helo,world hello wangdao
2020-01-07 21:23:24,334 mycat [ERROR] 3th: a new message helo,world hello wangdao
2020-01-07 21:23:24,334 mycat [WARN] 4th: a new message helo,world hello wangdao
2020-01-07 21:23:24,334 mycat [ERROR] 4th: a new message helo,world hello wangdao
2020-01-07 21:23:24,334 mycat [WARN] 5th: a new message helo,world hello wangdao
2020-01-07 21:23:24,334 mycat [ERROR] 5th: a new message helo,world hello wangdao
2020-01-07 21:23:24,334 mycat [WARN] 6th: a new message helo,world hello wangdao
2020-01-07 21:23:24,334 mycat [ERROR] 6th: a new message helo,world hello wangdao
2020-01-07 21:23:24,334 mycat [WARN] 7th: a new message helo,world hello wangdao
2020-01-07 21:23:24,334 mycat [ERROR] 7th: a new message helo,world hello wangdao
2020-01-07 21:23:24,334 mycat [WARN] 8th: a new message helo,world hello wangdao
2020-01-07 21:23:24,334 mycat [ERROR] 8th: a new message helo,world hello wangdao
2020-01-07 21:23:24,334 mycat [WARN] 9th: a new message helo,world hello wangdao
2020-01-07 21:23:24,334 mycat [ERROR] 9th: a new message helo,world hello wangdao
2020-01-07 21:23:24,334 mycat [WARN] 10th: a new message helo,world hello wangdao
2020-01-07 21:23:24,334 mycat [ERROR] 10th: a new message helo,world hello wangdao
2020-01-07 21:23:24,334 mycat [WARN] 11th: a new message helo,world hello wangdao
2020-01-07 21:23:24,334 mycat [ERROR] 11th: a new message helo,world hello wangdao
2020-01-07 21:23:24,334 mycat [WARN] 12th: a new message helo,world hello wangdao
2020-01-07 21:23:24,334 mycat [ERROR] 12th: a new message helo,world hello wangdao
2020-01-07 21:23:24,334 mycat [WARN] 13th: a new message helo,world hello wangdao
2020-01-07 21:23:24,334 mycat [ERROR] 13th: a new message helo,world hello wangdao
2020-01-07 21:23:24,334 mycat [WARN] 14th: a new message helo,world hello wangdao
2020-01-07 21:23:24,334 mycat [ERROR] 14th: a new message helo,world hello wangdao
2020-01-07 21:23:24,334 mycat [WARN] 15th: a new message helo,world hello wangdao
2020-01-07 21:23:24,334 mycat [ERROR] 15th: a new message helo,world hello wangdao
2020-01-07 21:23:24,334 mycat [WARN] 16th: a new message helo,world hello wangdao
2020-01-07 21:23:24,334 mycat [ERROR] 16th: a new message helo,world hello wangdao
2020-01-07 21:23:24,334 mycat [WARN] 17th: a new message helo,world hello wangdao
2020-01-07 21:23:24,334 mycat [ERROR] 17th: a new message helo,world hello wangdao
2020-01-07 21:23:24,334 mycat [WARN] 18th: a new message helo,world hello wangdao
2020-01-07 21:23:24,334 mycat [ERROR] 18th: a new message helo,world hello wangdao
2020-01-07 21:23:24,334 mycat [WARN] 19th: a new message helo,world hello wangdao
2020-01-07 21:23:24,334 mycat [ERROR] 19th: a new message helo,world hello wangdao
2020-01-07 21:23:24,334 mycat [WARN] 20th: a new message helo,world hello wangdao
2020-01-07 21:23:24,334 mycat [ERROR] 20th: a new message helo,world hello wangdao
2020-01-07 21:23:24,334 mycat [WARN] 21th: a new message helo,world hello wangdao
2020-01-07 21:23:24,334 mycat [ERROR] 21th: a new message helo,world hello wangdao
